"procarnumcod","fromarportcod","toarportcod","spacod","UpliftRestrictions","ThroughSPAflag","MultilateralCarrier","InvoluntaryRerouted","InvoluntaryEndorsed","Indemnification","sidetrip","originalreissueflg","Transportation","ownSurchargebilling","mixedclassoptions","sectorFareComponent","spaoncodeshare","OALsurchargebilling","spashareflag","FRMLAT","FRMLON","TOOLAT","TOOLON","bilamt","bilcnt","outcome"
"001","DCA","CLT","18","I","U","I","E","Q","E","M","E","M","U","Q","U","Q","A","Q","38.852100000","-77.037697000","35.214000700","-80.943099980","341.7","8","2"
"006","ATL","GSO","20","I","U","I","E","Q","E","M","E","M","U","Q","U","Q","A","Q","33.636700000","-84.428101000","36.097801210","-79.937301640","341.74","2","0"
"000","PEK","MNL","1","U","I","U","M","Q","M","E","A","E","U","M","U","M","Q","M","40.080101010","116.584999100","14.508600000","121.019997000","595.54","5","1"
"001","AUS","DFW","18","U","I","U","M","Q","M","E","A","E","U","M","U","M","Q","M","30.194499970","-97.669898990","32.896801000","-97.038002000","595.65","17","2"
"001","NGO","MNL","4","U","I","U","M","Q","M","E","A","E","U","M","U","M","Q","M","34.858398440","136.804992700","14.508600000","121.019997000","596.29","3","1"
"001","LAX","TUS","20","U","I","U","M","Q","M","E","A","E","U","M","U","M","Q","M","33.942501070","-118.407997100","32.116100310","-110.941001900","596.3","3","1"
"001","STL","PHX","17","U","I","U","M","Q","M","E","A","E","U","M","U","M","Q","M","38.748697000","-90.370003000","33.434299470","-112.012001000","596.48","6","1"
"176","DXB","FRA","31","U","I","U","M","Q","M","E","A","E","U","M","U","M","Q","M","25.252799990","55.364398960","50.033333000","8.570556000","597.15","3","1"
"176","FRA","DXB","31","U","I","U","M","Q","M","E","A","E","U","M","U","M","Q","M","50.033333000","8.570556000","25.252799990","55.364398960","597.15","3","1"
"211","CBO","MNL","30","U","I","U","M","Q","M","E","A","E","U","M","U","M","Q","M","7.165239811","124.209999100","14.508600000","121.019997000","597.75","7","1"
"006","SLC","ORD","6","U","I","U","M","Q","M","E","A","E","U","M","U","M","Q","M","40.788398740","-111.977996800","41.978600000","-87.904800000","598.86","9","2"
"005","EWR","PBI","8","U","I","U","M","Q","M","E","A","E","U","M","U","M","Q","M","40.692501070","-74.168701170","26.683200840","-80.095596310","599.16","8","2"
"838","YOW","YYC","13","U","I","U","M","Q","M","E","A","E","U","M","U","M","Q","M","45.322498320","-75.669197080","51.113899230","-114.019996600","599.32","4","1"
"125","FRA","LCY","7","U","I","U","M","Q","M","E","A","E","U","M","U","M","Q","M","50.033333000","8.570556000","51.505299000","0.055278000","599.56","6","1"
"006","ATL","MLB","6","U","I","U","M","Q","M","E","A","E","U","M","U","M","Q","M","33.636700000","-84.428101000","28.102800370","-80.645301820","599.57","12","2"
"006","GSO","ATL","21","U","I","U","M","Q","M","E","A","E","U","M","U","M","Q","M","36.097801210","-79.937301640","33.636700000","-84.428101000","599.73","15","2"
"838","YUL","YYC","12","U","I","U","M","Q","M","E","A","E","U","M","U","M","Q","M","45.470600130","-73.740798950","51.113899230","-114.019996600","599.85","4","1"
"071","ADD","HKG","1","U","I","U","M","Q","M","E","A","E","U","M","U","M","Q","M","8.977890015","38.799301150","22.308901000","113.915001000","600","1","0"
"006","ATL","SAT","11","Q","M","Q","U","Q","U","E","E","E","A","M","A","A","I","A","33.636700000","-84.428101000","29.533700940","-98.469802860","499.98","8","2"
"006","HNL","ATL","17","Q","M","Q","U","Q","U","E","E","E","A","M","A","A","I","A","21.320620000","-157.924228000","33.636700000","-84.428101000","500","1","0"
"000","MNL","ICN","5","Q","M","Q","U","Q","U","E","E","E","A","M","A","A","I","A","14.508600000","121.019997000","37.469100950","126.450996400","500","2","0"
